2020-11-23 15:01:27 INFO  Main:948 - org.springframework.context.annotation.internalPersistenceAnnotationProcessor
2020-11-23 15:01:27 INFO  Main:948 - org.springframework.context.event.internalEventListenerProcessor
2020-11-23 15:01:27 INFO  Main:948 - org.springframework.context.event.internalEventListenerFactory
2020-11-23 15:01:27 INFO  Main:948 - cycleAvoidingMappingContext
2020-11-23 15:01:27 INFO  Main:948 - dateMapper
2020-11-23 15:01:27 INFO  Main:948 - geometryConverter
2020-11-23 15:01:27 INFO  Main:948 - addressMapperImpl
2020-11-23 15:01:27 INFO  Main:948 - cardMapperImpl
2020-11-23 15:01:27 INFO  Main:948 - messageMapperImpl
2020-11-23 15:01:27 INFO  Main:948 - orderMapperImpl
2020-11-23 15:01:27 INFO  Main:948 - rentPointMapperImpl
2020-11-23 15:01:27 INFO  Main:948 - subscriptionMapperImpl
2020-11-23 15:01:27 INFO  Main:948 - userMapperImpl
2020-11-23 15:01:27 INFO  Main:948 - vehicleMapperImpl
2020-11-23 15:01:27 INFO  Main:948 - addressService
2020-11-23 15:01:27 INFO  Main:948 - cardService
2020-11-23 15:01:27 INFO  Main:948 - messageService
2020-11-23 15:01:27 INFO  Main:948 - orderService
2020-11-23 15:01:27 INFO  Main:948 - rentPointService
2020-11-23 15:01:27 INFO  Main:948 - subscriptionService
2020-11-23 15:01:27 INFO  Main:948 - userService
2020-11-23 15:01:27 INFO  Main:948 - vehicleService
2020-11-23 15:01:27 INFO  Main:948 - persistenceConfig
2020-11-23 15:01:27 INFO  Main:948 - addressDao
2020-11-23 15:01:27 INFO  Main:948 - cardDaoJpaImpl
2020-11-23 15:01:27 INFO  Main:948 - messageDao
2020-11-23 15:01:27 INFO  Main:948 - orderJpaDaoImpl
2020-11-23 15:01:27 INFO  Main:948 - rentPointDao
2020-11-23 15:01:27 INFO  Main:948 - subscriptionDao
2020-11-23 15:01:27 INFO  Main:948 - userDao
2020-11-23 15:01:27 INFO  Main:948 - vehicleDao
2020-11-23 15:01:27 INFO  Main:948 - org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration
2020-11-23 15:01:27 INFO  Main:948 - org.springframework.transaction.config.internalTransactionAdvisor
2020-11-23 15:01:27 INFO  Main:948 - transactionAttributeSource
2020-11-23 15:01:27 INFO  Main:948 - transactionInterceptor
